6,8,8,6,x
1,5,3,2,y
4,3,1,0,x
5,1,2,3,y
0,0,0,0,x
9,1,2,1,y
2,6,5,5,x
1,1,0,1,y
1,0,1,0,y
4,2,6,0,y
0,0,0,1,x
3,2,2,1,x
3,3,2,4,x
2,3,4,5,x
5,1,0,6,y
8,8,8,7,x
6,1,0,1,y
0,6,7,8,x
5,1,1,2,y
0,5,5,5,x
7,3,1,1,x
2,6,6,0,y
3,4,1,1,y
9,8,7,6,x
0,0,0,1,x
2,1,1,1,y
3,4,1,0,x
2,5,3,1,x
8,1,1,1,x
4,5,3,0,x
9,7,6,3,y
8,0,1,1,x
5,5,5,5,y
3,1,4,4,z
5,2,2,2,x
6,4,0,1,y
3,2,1,0,y
7,0,1,5,x
5,5,1,4,x
6,1,3,1,y
0,2,2,2,x
4,3,1,1,y
4,3,1,1,y
3,2,1,0,y
3,2,1,0,y
9,1,2,1,y
9,7,6,3,y
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
3,1,4,4,z
