Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
8.426684454469136,2.5920146043946275,8.7,2.8,1.8,2.99,2
7.585081575342578,3.5,7.512631835923955,2.2077595313390326,2.6025360791154917,3.137461151074069,1
7.5725730845575185,3.9,7.549420635524758,1.2,3.2528351526897197,3.1725249204127195,1
7.598274619190825,2.0009849304369176,7.2,2.810681714960758,4.484563676935537,3.12507510143681,2
7.677749180475633,2.02023981022694,6.82662714483698,2.4848891383638794,4.149945754472235,3.51,0
7.592874740524557,2.9234026482215185,8.234073943835813,0.3,6.30574875159213,2.85,2
7.597666697300472,0.7,5.3,3.875926651918217,6.752105089512483,3.15993110463166,0
8.4,1.8,7.46306776081958,3.0,3.3991921215462106,3.2,0
7.5813790461401105,3.6,7.515729269051281,2.1747132655172976,2.484329002013439,3.138839196491425,1
7.760111712974144,2.5184168200115806,8.04799960508318,3.6218480134938495,1.3,3.232113063151644,2
7.640308701252767,2.0074322450039936,7.466216192833691,2.708026648753929,4.3578355386581435,3.1166589857155778,0
6.9,2.4010407472115283,7.5531653537156025,2.1,5.322247893034223,3.0501130944816346,2
7.611445512790876,1.9976275878159235,7.942506484618104,2.8790528389740047,4.517204136955524,2.82,0
5.0,2.2468739214096978,7.649977782948191,3.913924280497362,5.356645940877126,2.768093040583352,1
7.703562509821829,0.3,7.413513975849529,3.2652400376343245,6.385162546381203,3.093363697718658,0
7.653404461644175,0.3,6.6,2.0,8.746015736020059,3.1708668521832966,2
7.747864037303675,2.6,7.738585894760334,3.137474129735722,1.8,3.36,0
8.8,2.2,7.399285258356471,2.0,3.6705325155732993,3.2726858068413005,0
7.6,2.0143989005530685,7.3740564698474,2.7022436741992095,4.3595463330456745,3.16,0
7.607106185242589,2.0494786410884522,9.5,2.0345755334139604,3.530989923170541,3.061442984486712,2
7.640308701252767,2.0074322450039936,7.466216192833691,2.708026648753929,4.3578355386581435,3.1166589857155778,2
7.6390969986080215,2.0453241546263996,7.470135649821799,2.6,4.435390411426457,3.1204548547619986,0
7.610932009552496,0.7,9.5,2.6,4.97112857212246,3.038842757778818,0
7.6055702607118505,2.0410449522794956,9.1,2.1695505215090556,3.696828836868807,3.0725094396084636,2
7.640308701252767,2.0074322450039936,7.466216192833691,2.708026648753929,4.3578355386581435,3.1166589857155778,1
8.213951849270192,2.471012599176639,7.6,3.5108468531211052,1.6,3.213513473901372,0
7.707064238756047,2.3052106048630954,7.79243600095014,3.240638940643535,2.6,3.1803300205043232,2
7.643541438311029,1.901187186485135,7.455914410640467,3.0,4.153465395375928,3.10665890664157,2
5.3,1.1,7.596614163105105,4.095882888001338,6.6662598141185505,2.794446463482064,1
7.650208097865541,1.6849817342732365,7.434582551868459,3.6,3.730577871300156,3.085964984460924,0
7.642351764437432,1.6251534592784296,7.430888037741404,3.8,3.6537661266008143,3.05,2
7.607512354350618,3.3,7.321919615055666,2.193808744244482,2.771393825363866,3.26,1
7.632198185181011,2.4,7.546904425088719,0.1,7.07493655515465,3.2051265989019484,1
7.326170985978326,2.0257709239474906,8.5,2.3,3.8865831662763455,3.24,0
7.75088872842889,0.6,6.817659216064552,0.7,8.589289519173253,3.62,0
7.590475084495605,2.2,7.6,2.604741066629863,4.103028392748495,3.12,0
7.588383367509234,1.9897624669773322,8.330638428889799,3.0161532565775175,4.644946183036634,2.58,1
7.631319229127747,2.2975638488736223,7.495022818389149,1.9,4.928759189514871,3.144597763972742,0
7.70648171847925,0.3,6.791421995974623,5.4,3.4364155996591563,3.29,0
8.208394477008966,1.5504536341778916,7.7,4.2,3.6546917991628227,2.61,1
7.837546299271466,0.9,7.613594285933363,2.74823591079727,4.8,3.48,0
7.595326806649254,3.4,8.3,1.9731936370838419,2.4184072756319317,3.114081926377228,0
7.341411561185883,1.5,6.1365799583084595,1.4649526422926762,9.2,2.822640367446809,1
7.605186279579151,2.038936530077251,9.0,2.203294268532826,3.7382885652933773,3.075276053388908,0
7.640308701252767,2.0074322450039936,7.466216192833691,2.708026648753929,4.3578355386581435,3.1166589857155778,2
8.080435815549876,3.9009646687926143,9.705534297723528,0.3,0.6,3.72071112266768,0
7.511444760763705,3.7,8.007348389321127,5.8,-1.7013724915154995,2.6,1
7.662817299799887,1.3,7.457327915519205,2.9514202797566575,5.217286049093367,3.09,0
7.640308701252767,2.0074322450039936,7.466216192833691,2.708026648753929,4.3578355386581435,3.1166589857155778,0
7.646038730713368,2.009425269073855,7.360308568210545,2.6734022125687105,4.3255910678338125,3.18,0
7.665255399234443,1.2,7.38801988158129,4.9,2.8408864325913363,3.0410839780819483,2
6.16087673576191,2.6,8.5,1.6382558622903716,2.8604862113691993,4.0,0
9.5,1.4,7.324370462643813,2.057271440486698,4.130332921122271,3.349658052294499,0
7.631005000300615,2.2,7.448616256673329,3.5,3.031497232651425,3.090757587206083,2
7.6346525589050245,2.189461122767657,7.484356889003131,2.2,4.717315427476997,3.1342508028824216,1
7.680939704705004,0.9,8.1,0.5,8.487780240659635,3.164364063861516,0
7.640308701252767,2.0074322450039936,7.466216192833691,2.708026648753929,4.3578355386581435,3.1166589857155778,1
7.6739422762020055,1.1,7.4382934408681365,3.0008699110605015,5.439505929564774,3.104388061057513,0
7.640308701252767,2.0074322450039936,7.466216192833691,2.708026648753929,4.3578355386581435,3.1166589857155778,1
