Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
29.8,58.3,0.7,10.9,16.1,5.0,0.98,5.1,319.0,2
29.4,75.6,0.7,10.9,16.1,5.0,1.64,5.1,611.0,2
29.4,58.3,0.7,10.9,16.1,12.6,0.98,5.1,619.0,2
27.1,58.3,0.7,6.3,16.1,5.0,0.98,5.1,543.0,0
26.5,70.7,0.7,16.0,16.1,5.0,0.98,5.1,543.0,0
29.4,58.3,0.7,35.5,16.1,17.9,0.98,3.1,674.0,1
29.4,58.3,0.7,15.8,16.1,5.0,0.98,4.6,735.0,3
29.4,58.3,0.7,16.8,16.1,5.0,1.38,5.1,443.0,2
29.4,58.3,0.7,22.7,16.1,11.8,0.98,5.4,543.0,3
33.2,80.5,11.1,24.4,16.1,15.3,0.98,5.1,543.0,3
29.4,58.3,0.7,10.9,16.1,5.9,0.98,5.1,543.0,0
29.4,51.2,1.6,10.5,16.1,19.3,0.98,5.9,543.0,2
20.0,58.3,0.7,10.9,16.1,6.6,1.09,5.1,538.0,0
28.6,58.3,0.7,10.9,16.1,4.5,0.98,5.1,543.0,0
22.3,80.5,4.5,12.0,16.1,6.3,0.98,10.4,232.0,0
29.4,78.9,0.7,29.9,16.1,5.0,0.98,5.1,543.0,2
22.9,75.4,0.7,10.9,16.1,3.7,0.96,5.1,543.0,0
37.6,81.2,0.7,10.9,16.1,13.7,0.98,5.1,543.0,3
34.7,59.3,0.7,10.9,28.5,5.0,0.98,6.1,543.0,2
29.4,97.2,0.6,10.9,16.1,11.7,0.98,7.7,803.0,3
29.4,44.1,3.5,14.4,30.7,9.4,0.98,5.1,543.0,2
27.6,77.5,0.7,10.9,16.1,5.0,0.98,14.4,520.0,0
25.6,58.3,0.7,-0.2,25.3,5.0,0.98,10.0,543.0,0
24.6,58.3,0.7,10.9,16.1,4.6,0.98,5.1,543.0,0
26.2,58.3,0.7,2.0,16.1,2.3,0.98,5.1,581.0,0
22.6,58.3,0.7,10.9,16.1,4.8,0.98,5.1,543.0,0
30.0,69.2,0.7,10.9,16.1,5.0,1.09,5.1,543.0,0
29.4,72.2,10.1,10.9,16.1,5.0,0.98,3.5,543.0,3
29.6,58.3,3.4,10.9,16.1,2.9,1.03,10.2,543.0,0
52.5,83.9,0.7,10.9,16.1,34.6,0.98,5.1,543.0,1
29.4,97.9,0.7,57.3,16.1,5.0,0.98,5.1,562.0,1
23.3,58.3,24.0,10.9,16.1,5.0,0.98,5.1,543.0,0
35.4,100.2,0.7,33.2,16.1,11.7,0.98,5.1,543.0,3
29.7,85.8,0.7,94.4,16.1,19.8,0.98,10.0,543.0,3
29.4,79.6,7.1,10.9,14.5,6.0,0.91,5.1,543.0,0
27.7,58.3,83.3,93.5,16.1,5.0,0.98,7.4,594.0,2
27.5,78.9,0.7,34.1,16.1,5.0,0.98,5.1,543.0,0
29.4,72.2,0.7,25.0,16.1,6.1,1.32,13.2,543.0,0
22.2,58.3,0.7,10.9,16.1,5.0,0.98,10.2,543.0,0
29.4,70.1,0.7,10.9,16.1,5.0,0.98,4.9,543.0,1
37.5,83.7,0.7,10.9,16.1,29.2,0.98,5.1,543.0,1
30.9,94.4,0.7,10.9,31.4,23.3,1.75,5.1,543.0,3
39.3,78.9,0.7,85.2,16.1,5.0,1.7,8.5,543.0,3
29.4,64.9,0.7,10.9,16.1,5.0,0.98,5.1,543.0,3
27.8,58.3,8.7,10.9,16.1,15.8,0.98,8.1,543.0,2
29.4,56.5,2.6,10.9,16.1,3.5,0.98,5.1,475.0,0
18.1,58.3,3.1,10.9,16.1,5.8,1.18,12.9,543.0,0
29.4,58.3,0.7,5.2,16.1,5.0,0.89,10.9,543.0,0
22.4,69.3,0.7,10.9,16.1,3.0,0.92,10.2,543.0,0
29.4,47.4,0.7,84.8,16.1,8.2,1.59,13.2,543.0,2
42.1,89.8,0.7,35.3,16.1,30.4,2.67,2.8,543.0,1
29.4,58.3,0.7,10.9,16.1,4.1,0.82,10.6,236.0,0
29.4,65.1,4.1,19.3,16.1,14.5,0.98,6.3,543.0,2
46.1,100.3,0.7,169.8,16.1,5.0,2.3,7.3,543.0,1
29.4,81.2,0.7,10.9,16.1,27.2,0.98,3.7,543.0,1
48.1,94.1,0.7,10.9,16.1,5.0,0.98,6.0,625.0,3
29.4,58.3,0.7,10.9,16.1,17.4,0.98,5.1,543.0,2
29.0,83.5,0.7,10.9,16.1,-2.8,0.98,5.1,538.0,2
24.9,58.3,0.7,10.9,16.1,5.0,0.98,8.1,543.0,2
29.4,58.3,0.7,10.9,16.1,9.9,0.98,5.1,543.0,3
