Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
9.7,3.8,8.7,2.8,1.8,2.99,2
9.7,1.6,5.8,4.2,5.2,2.75,1
9.7,3.9,9.2,1.2,4.6,3.26,1
9.7,1.6,7.2,1.7,6.5,2.88,2
8.1,0.6,5.8,2.2,6.6,3.51,0
6.0,2.1,5.8,1.8,5.2,2.85,2
8.0,1.6,5.3,5.7,4.3,3.08,0
9.7,1.8,5.8,3.0,5.2,3.2,0
5.2,3.6,6.3,4.0,4.9,2.82,1
7.7,1.6,9.8,4.5,1.3,3.26,2
9.7,3.6,8.0,1.8,0.2,3.26,0
9.7,1.1,9.1,2.1,4.8,2.97,2
6.4,2.2,5.7,1.8,4.9,2.82,0
9.7,3.3,5.8,4.4,2.8,2.87,1
9.7,0.3,5.8,0.7,7.3,3.4,0
9.7,0.3,5.8,2.0,8.4,3.2,2
9.7,2.6,5.8,1.8,5.2,3.26,0
9.7,2.2,5.8,2.0,5.2,3.19,0
7.6,1.7,5.8,0.6,9.0,3.26,0
6.6,1.6,9.5,1.5,4.4,3.26,2
9.7,3.0,6.1,0.5,5.2,2.9,2
9.7,3.2,5.8,2.6,5.2,3.34,0
9.7,0.7,5.8,1.8,5.2,3.26,0
9.7,1.7,5.8,1.8,1.9,2.85,2
9.7,2.0,5.8,1.3,8.6,3.26,1
9.7,1.6,5.8,1.8,5.2,3.26,0
6.8,3.9,5.8,1.8,5.2,3.26,2
6.4,0.1,5.8,1.8,6.5,3.26,2
9.7,1.1,9.5,1.4,5.2,2.79,1
9.9,1.0,8.4,3.6,1.1,3.26,0
9.7,2.9,5.8,3.8,5.2,3.26,2
9.7,3.3,5.8,1.8,5.2,3.26,1
5.2,2.4,8.4,1.8,7.9,2.47,1
8.2,0.7,5.8,2.3,4.3,3.26,0
9.7,0.6,6.7,0.7,5.2,3.62,0
9.7,2.2,5.8,1.2,3.9,3.12,0
5.5,3.6,5.8,3.4,2.0,2.58,1
9.7,3.6,5.8,1.9,5.2,3.26,0
8.2,0.3,5.8,5.4,4.3,3.26,0
9.7,0.6,5.8,4.2,5.2,2.61,1
9.7,1.6,5.8,1.8,4.8,3.48,0
8.2,3.4,5.8,1.8,1.8,3.07,0
9.7,1.5,5.8,1.5,9.2,2.81,1
9.5,1.6,5.8,1.8,1.5,3.26,0
9.7,2.0,5.8,4.3,5.2,3.26,2
9.7,3.8,9.6,1.8,5.2,3.55,0
9.7,1.6,7.1,5.8,5.2,2.6,1
9.3,1.3,5.8,3.3,4.3,3.09,0
9.7,1.6,5.8,0.3,5.2,3.26,0
9.4,3.0,5.8,1.8,5.2,3.18,0
9.7,1.2,9.0,1.8,5.2,3.26,2
9.7,2.6,5.8,3.1,0.8,3.26,0
9.7,1.4,5.8,0.6,5.6,3.33,0
9.7,2.2,6.4,3.5,4.6,3.11,2
9.7,1.6,5.8,2.2,7.4,3.26,1
8.8,0.9,5.8,1.8,5.2,3.1,0
9.7,2.1,7.7,1.8,5.2,2.39,1
9.0,1.1,5.8,0.5,5.2,3.26,0
5.1,1.6,5.8,4.0,1.8,3.26,1
5.8,1.0,7.7,1.8,5.2,3.26,1
8.3,1.1,5.8,1.8,5.2,3.67,0
9.7,1.6,5.8,1.8,4.6,3.27,2
5.1,1.6,5.8,1.8,13.0,2.85,0
9.7,0.4,7.5,2.8,5.2,3.26,2
5.9,1.7,5.8,3.7,5.2,2.8,1
9.7,2.5,5.8,1.8,5.2,3.06,2
9.7,0.7,5.8,1.8,5.2,3.26,0
9.7,2.3,6.9,3.3,5.2,3.38,0
7.3,2.2,5.8,1.8,5.2,3.26,2
5.4,1.3,5.8,0.1,5.2,2.69,1
9.7,1.1,5.6,1.8,4.0,3.26,0
9.7,3.2,5.8,1.8,4.7,3.37,0
9.7,3.2,5.8,0.8,1.2,3.58,0
6.7,3.7,5.8,1.8,2.5,2.89,2
9.7,3.0,5.8,1.8,1.3,3.58,0
9.7,3.6,5.8,0.1,5.2,2.99,2
9.5,0.4,5.8,1.8,1.8,3.44,0
8.2,1.8,5.8,1.8,5.5,3.35,0
9.7,3.0,5.8,1.8,5.2,3.26,0
5.3,2.2,7.2,5.3,4.0,3.26,1
9.7,0.5,5.8,4.6,5.2,3.26,0
5.4,2.8,5.8,4.9,5.5,2.86,0
9.7,0.3,5.4,1.8,3.9,3.26,0
9.1,3.8,9.9,0.9,5.2,3.26,0
9.7,0.3,5.8,1.8,4.5,3.26,2
9.7,2.0,5.1,2.8,5.2,2.81,0
5.3,0.5,5.8,3.9,5.2,3.26,0
9.7,1.5,5.8,5.2,1.1,3.78,0
9.7,3.9,5.8,5.8,3.1,3.26,0
9.7,1.6,5.8,3.1,3.5,2.81,1
8.1,2.8,5.8,1.8,5.2,3.39,0
9.7,1.1,9.8,1.8,2.6,2.82,1
7.3,2.5,6.4,1.1,6.7,3.26,2
9.7,1.6,9.9,5.8,5.2,3.08,2
8.5,1.6,5.8,1.8,5.2,3.1,0
9.7,3.3,5.8,1.0,5.2,3.54,0
9.7,1.7,9.7,3.9,0.6,3.45,0
9.9,0.6,5.8,1.8,3.4,3.39,0
9.7,3.4,9.2,0.7,5.2,3.15,0
9.7,3.5,9.1,6.0,0.1,3.26,1
10.0,2.2,5.8,1.8,5.2,3.26,0
7.3,0.5,5.8,1.8,2.8,3.22,2
6.1,2.7,5.8,2.1,5.0,3.26,2
7.6,3.1,7.6,4.9,0.8,3.26,2
7.8,1.6,9.4,1.9,2.7,3.3,2
8.5,1.6,5.7,0.1,5.2,3.55,0
9.7,2.4,7.0,1.8,5.2,2.97,2
7.6,3.1,7.0,1.8,2.6,3.28,2
9.3,3.8,5.7,4.8,0.4,3.05,0
7.3,3.9,5.8,1.8,5.2,3.08,2
8.2,1.0,5.8,0.8,5.2,3.3,0
9.7,1.6,9.5,1.8,5.2,3.26,1
8.3,0.7,5.8,0.2,5.2,3.26,0
5.9,0.4,5.8,1.8,5.2,2.73,0
9.7,1.5,7.5,4.1,4.9,2.76,2
9.4,3.7,5.8,1.8,4.0,3.45,0
9.0,3.0,5.8,1.8,4.8,3.26,0
8.1,1.5,5.8,4.5,2.6,3.26,0
5.2,1.0,8.6,5.4,5.2,3.26,1
5.5,1.8,5.8,1.5,7.5,3.26,1
9.7,1.5,5.8,1.8,9.2,2.82,0
5.6,3.6,8.0,4.1,5.2,3.26,1
9.7,2.0,5.8,3.2,4.5,3.64,0
9.7,1.6,6.4,2.2,7.7,3.26,2
8.2,2.3,6.8,1.8,0.8,3.26,0
9.7,0.6,6.2,1.0,5.2,2.94,1
9.7,1.1,5.8,5.4,5.7,2.89,0
7.1,3.9,5.8,1.8,5.2,2.9,0
9.7,3.5,5.8,1.8,5.2,3.57,0
9.6,2.2,7.9,1.2,3.1,3.26,0
9.7,0.7,5.8,1.8,5.2,3.26,0
9.7,2.4,5.8,1.8,5.2,2.85,1
9.7,1.9,5.8,1.8,8.3,2.7,1
5.3,4.0,6.6,1.8,3.2,3.26,1
9.7,2.7,5.8,3.6,2.6,2.45,2
9.7,1.6,5.8,4.2,5.2,3.26,2
9.7,1.6,5.8,1.8,4.7,3.26,1
9.7,1.6,5.7,4.8,2.2,3.26,0
6.0,0.7,5.8,4.9,6.6,2.96,0
6.8,3.5,5.8,1.8,1.8,3.44,2
9.7,1.5,5.8,1.8,6.2,3.26,2
6.2,3.6,5.8,3.3,4.0,3.26,2
9.7,1.6,5.8,5.6,0.8,3.13,0
5.7,1.6,5.8,3.2,5.2,3.08,1
9.7,1.6,5.8,1.8,3.8,3.59,0
5.2,2.3,8.8,5.3,5.2,2.61,1
6.7,3.3,5.6,5.1,5.2,2.95,0
9.0,0.6,5.8,1.8,5.2,3.26,0
9.7,1.6,8.5,2.3,5.2,3.14,0
9.7,3.6,5.8,2.4,5.2,2.64,1
7.3,3.8,5.8,3.5,5.2,3.26,0
9.7,3.5,9.7,1.8,2.5,3.26,1
9.7,3.7,8.5,1.8,5.2,3.65,0
9.7,2.9,9.7,4.0,5.2,3.33,2
7.3,0.5,9.9,1.8,1.3,3.11,2
8.0,1.6,5.8,1.8,5.2,3.42,0
9.0,0.0,6.7,1.8,5.2,3.51,0
9.7,1.6,5.8,1.8,5.2,3.02,2
6.1,1.8,5.8,1.8,9.3,2.38,0
9.7,1.4,7.9,3.2,1.9,3.43,0
5.1,2.7,5.9,5.8,5.2,2.71,0
9.7,4.0,5.8,3.6,3.5,3.26,1
9.7,3.0,6.0,1.8,5.2,2.68,1
5.2,1.6,7.8,1.8,8.7,3.26,1
8.9,1.8,5.8,1.8,5.2,3.58,0
9.7,0.7,5.8,5.7,5.2,2.46,1
9.7,1.1,8.2,1.8,5.2,3.22,2
9.7,1.6,6.2,1.8,5.2,3.26,1
9.7,0.4,9.0,1.1,5.2,3.26,1
9.7,1.0,5.8,5.1,3.8,3.26,1
9.2,1.6,8.3,1.0,3.9,3.5,0
9.7,1.6,5.8,1.8,5.2,3.26,1
9.7,2.3,5.8,5.4,3.3,2.78,1
9.7,1.6,5.8,1.8,6.6,3.15,2
9.7,1.6,5.8,1.8,3.9,3.26,0
9.7,0.6,9.3,2.6,2.7,3.26,0
9.5,3.2,5.8,0.1,4.1,3.26,0
8.2,1.0,5.8,1.8,5.2,3.26,0
9.9,2.1,5.9,1.6,4.5,3.26,0
6.4,2.2,5.8,5.0,2.1,2.76,2
9.7,0.0,5.8,5.4,6.9,3.26,0
8.0,2.7,5.8,1.8,5.2,3.26,0
7.1,1.5,5.8,0.3,5.2,3.17,2
9.7,2.4,5.8,1.8,5.2,2.66,1
6.4,1.4,5.8,1.8,5.8,2.77,2
8.3,3.7,8.7,0.7,2.6,3.77,0
9.7,1.0,5.8,1.8,5.2,3.29,1
6.7,3.1,5.5,0.5,8.2,3.26,0
9.7,2.0,8.4,2.2,2.8,3.26,0
9.7,2.8,6.4,3.4,5.2,3.24,0
9.7,0.4,9.6,1.8,6.4,3.26,2
9.7,2.2,5.8,1.8,2.1,3.26,1
9.7,2.6,5.8,3.3,0.6,3.26,0
9.7,4.0,5.8,0.2,5.2,2.58,2
9.7,3.7,5.9,3.4,2.5,3.06,0
9.7,3.9,9.7,1.8,5.2,3.26,0
9.3,1.6,5.8,3.9,0.8,3.41,0
6.2,1.6,5.8,4.2,7.7,2.84,0
6.7,2.9,5.8,1.9,7.2,3.29,0
9.7,2.5,5.8,3.4,5.2,3.26,2
9.7,0.1,9.4,0.1,8.2,3.26,2
9.7,1.6,5.8,0.4,0.7,3.26,0
8.8,1.6,7.4,3.8,2.4,3.23,0
9.7,1.6,6.2,0.7,5.2,3.36,2
6.8,1.1,6.5,1.4,5.2,3.26,2
6.9,2.7,6.1,1.8,5.2,3.08,2
