Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,GPA,Stress_Level
6.9,3.8,8.7,2.8,1.8,2.99,2
5.3,3.5,8.0,4.2,4.3,2.75,1
5.1,3.9,9.2,1.2,4.6,2.67,1
6.5,1.6,7.2,1.9,6.5,2.88,2
8.1,0.6,8.0,2.2,6.6,3.51,0
6.0,2.1,8.0,1.9,4.3,3.26,2
8.0,1.6,5.3,1.9,4.3,3.08,0
8.4,1.8,5.6,3.0,5.2,3.2,0
5.2,3.6,6.3,4.0,4.9,2.82,1
7.7,1.6,8.0,4.5,1.3,2.76,2
9.7,3.6,8.0,2.5,0.2,3.43,0
6.9,1.1,8.0,2.1,4.3,2.97,2
6.3,2.2,5.7,4.8,4.9,2.82,0
5.0,3.3,8.5,4.4,2.8,2.87,1
8.9,0.3,8.0,0.7,7.3,3.4,0
6.7,0.3,6.6,2.0,8.4,3.2,2
8.6,1.6,8.0,1.6,1.8,3.36,0
6.3,2.2,8.9,2.0,2.1,3.19,0
7.6,1.7,8.0,0.6,9.0,3.16,0
6.6,2.0,9.5,1.9,4.4,2.93,2
6.3,1.6,8.0,0.5,4.3,2.9,2
9.6,3.2,8.2,2.6,0.4,3.34,0
9.0,1.6,9.5,2.6,2.2,3.26,0
6.1,1.7,9.1,5.2,4.3,2.85,2
5.0,1.6,7.1,1.9,8.6,2.68,1
9.7,1.3,8.0,3.8,1.6,3.29,0
6.8,1.6,9.8,0.9,4.3,2.64,2
6.4,0.1,8.0,1.9,4.3,2.95,2
5.3,1.6,8.0,1.4,6.7,2.79,1
9.9,1.0,8.4,1.9,1.1,3.25,0
6.3,2.9,8.0,1.9,4.3,3.05,2
5.5,3.3,8.0,1.1,4.3,3.26,1
5.2,1.6,8.4,1.9,7.9,2.47,1
8.2,0.7,8.5,2.3,4.3,3.24,0
9.7,0.6,6.7,0.7,6.3,3.62,0
9.1,1.6,7.6,1.2,4.3,3.12,0
6.3,3.6,9.5,3.4,2.0,2.58,1
8.6,3.6,9.4,1.9,0.5,3.03,0
8.2,1.6,5.8,5.4,4.3,3.26,0
5.0,0.6,8.0,4.2,6.5,2.61,1
8.3,1.6,8.6,1.4,4.8,3.48,0
8.2,3.4,8.3,2.3,4.3,3.07,0
5.5,1.5,6.3,1.5,4.3,2.81,1
9.5,2.5,8.0,1.5,4.3,3.49,0
7.9,1.6,6.0,4.3,3.8,2.97,2
9.7,3.8,9.6,0.3,4.3,3.55,0
5.1,3.7,7.1,5.8,2.3,2.6,1
9.3,1.6,5.8,1.9,4.3,3.09,0
9.7,2.8,7.9,0.3,3.3,3.47,0
9.4,3.0,8.5,1.9,4.3,3.18,0
6.8,1.2,9.0,4.9,2.1,3.12,2
9.0,2.6,8.5,3.1,0.8,4.0,0
9.5,1.4,8.0,0.6,5.6,3.33,0
7.3,2.2,6.4,3.5,4.6,3.11,2
5.2,0.1,9.1,2.2,4.3,3.26,1
6.3,0.9,8.0,0.5,5.7,3.1,0
5.3,1.6,7.7,3.8,5.1,2.39,1
9.0,1.6,7.2,0.5,6.2,3.39,0
5.1,1.6,9.2,1.9,1.8,2.52,1
5.8,1.0,8.0,4.3,5.2,2.8,1
