Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
30.172697095435684,59.1,20.35455624814485,17.9,26.35264598540146,9.2,1.72,6.3,500.73315949587135,2
28.3,75.6,20.35455624814485,12.2,26.35264598540146,9.99637180373186,1.501326530612245,6.0,500.73315949587135,2
23.1,74.7,26.7,33.8,24.4,9.99637180373186,1.63,8.423235563703026,619.0,2
27.1,39.1,6.1,6.3,26.35264598540146,9.99637180373186,1.501326530612245,8.423235563703026,551.0,0
30.172697095435684,70.1534353995519,6.9,16.0,26.35264598540146,5.6,1.501326530612245,12.7,303.0,0
30.172697095435684,96.6,14.6,30.088880063542497,42.9,17.9,1.82,3.1,674.0,1
41.7,82.5,1.7,15.8,26.35264598540146,12.7,1.8,8.423235563703026,735.0,3
31.0,59.6,5.0,16.8,26.35264598540146,9.99637180373186,1.38,8.423235563703026,500.73315949587135,2
30.172697095435684,70.1534353995519,20.35455624814485,22.7,26.35264598540146,11.8,2.03,5.4,486.0,3
33.2,80.5,20.35455624814485,24.4,32.0,9.99637180373186,1.69,8.423235563703026,535.0,3
26.3,70.1534353995519,20.35455624814485,5.5,18.3,9.99637180373186,0.85,13.0,500.73315949587135,0
30.172697095435684,51.2,1.6,10.5,21.6,19.3,1.53,5.9,500.73315949587135,2
20.0,53.3,20.35455624814485,12.9,26.35264598540146,9.99637180373186,1.09,8.423235563703026,500.73315949587135,0
30.172697095435684,53.7,28.9,34.0,23.2,4.5,1.02,8.423235563703026,508.0,0
30.172697095435684,80.5,20.35455624814485,30.088880063542497,17.2,6.3,1.18,10.4,500.73315949587135,0
32.0,70.1534353995519,22.4,29.9,27.5,11.8,1.48,8.423235563703026,444.0,2
22.9,75.4,4.5,30.088880063542497,18.4,3.7,0.96,8.423235563703026,500.73315949587135,0
30.172697095435684,70.1534353995519,20.35455624814485,56.6,26.35264598540146,9.99637180373186,1.85,8.423235563703026,560.0,3
30.172697095435684,59.3,9.0,15.7,26.35264598540146,7.1,1.52,8.423235563703026,500.73315949587135,2
37.8,97.2,0.6,24.6,26.35264598540146,9.99637180373186,1.501326530612245,8.423235563703026,500.73315949587135,3
27.6,70.1534353995519,3.5,14.4,26.35264598540146,9.4,1.501326530612245,8.0,338.0,2
27.6,70.1534353995519,3.8,10.9,9.1,9.99637180373186,1.04,14.4,520.0,0
25.6,70.1534353995519,0.4,-0.2,26.35264598540146,9.99637180373186,0.98,8.423235563703026,536.0,0
24.6,48.4,8.3,15.4,23.3,9.99637180373186,1.501326530612245,8.423235563703026,461.0,0
26.2,49.9,0.5,2.0,26.35264598540146,2.3,0.94,8.423235563703026,581.0,0
22.6,62.1,16.4,21.3,17.6,9.99637180373186,1.501326530612245,11.5,500.73315949587135,0
