Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
28.9,59.1,1.5,17.9,26.6,9.2,1.72,6.3,494.0,2
28.3,75.6,1.5,12.2,26.6,5.7,0.98,6.0,494.0,2
23.1,74.7,26.7,33.8,24.4,5.7,1.63,5.1,619.0,2
27.1,39.1,6.1,6.3,26.6,5.7,0.98,5.1,551.0,0
28.9,64.6,6.9,16.0,26.6,5.6,0.98,12.7,303.0,0
28.9,96.6,14.6,14.2,42.9,17.9,1.82,3.1,674.0,1
41.7,82.5,1.7,15.8,26.6,12.7,1.8,5.1,735.0,3
31.0,59.6,5.0,16.8,26.6,5.7,1.38,5.1,494.0,2
28.9,64.6,1.5,22.7,26.6,11.8,2.03,5.4,486.0,3
33.2,80.5,1.5,24.4,32.0,5.7,1.69,5.1,535.0,3
26.3,64.6,1.5,5.5,18.3,5.7,0.85,13.0,494.0,0
28.9,51.2,1.6,10.5,21.6,19.3,1.53,5.9,494.0,2
20.0,53.3,1.5,12.9,26.6,5.7,1.09,5.1,494.0,0
28.9,53.7,28.9,34.0,23.2,4.5,1.02,5.1,508.0,0
28.9,80.5,1.5,14.2,17.2,6.3,1.18,10.4,494.0,0
32.0,64.6,22.4,29.9,27.5,11.8,1.48,5.1,444.0,2
22.9,75.4,4.5,14.2,18.4,3.7,0.96,5.1,494.0,0
28.9,64.6,1.5,56.6,26.6,5.7,1.85,5.1,560.0,3
28.9,59.3,9.0,15.7,26.6,7.1,1.52,5.1,494.0,2
37.8,97.2,0.6,24.6,26.6,5.7,0.98,5.1,494.0,3
27.6,64.6,3.5,14.4,26.6,9.4,0.98,8.0,338.0,2
27.6,64.6,3.8,10.9,9.1,5.7,1.04,14.4,520.0,0
25.6,64.6,0.4,-0.2,26.6,5.7,0.98,5.1,536.0,0
24.6,48.4,8.3,15.4,23.3,5.7,0.98,5.1,461.0,0
26.2,49.9,0.5,2.0,26.6,2.3,0.94,5.1,581.0,0
22.6,62.1,16.4,21.3,17.6,5.7,0.98,11.5,494.0,0
28.9,69.2,2.0,3.9,15.3,5.7,0.98,5.1,297.0,0
28.9,64.6,10.1,16.6,26.6,6.3,1.85,5.1,494.0,3
29.6,65.6,1.5,9.3,26.6,2.9,0.98,5.1,452.0,0
52.5,83.9,67.5,14.2,31.6,34.6,2.31,5.1,785.0,1
28.9,97.9,1.5,14.2,26.6,22.6,0.98,5.1,494.0,1
23.3,64.6,24.0,29.0,26.6,5.3,0.96,10.9,494.0,0
28.9,100.2,20.5,33.2,34.4,5.7,1.85,5.1,494.0,3
29.7,85.8,84.4,94.4,26.6,19.8,1.55,5.1,744.0,3
28.9,64.6,1.5,16.8,14.5,5.7,0.98,5.1,494.0,0
28.9,64.6,83.3,14.2,26.6,5.7,1.71,7.4,594.0,2
27.5,64.6,1.5,34.1,15.3,5.7,0.98,5.1,472.0,0
28.9,64.6,1.5,25.0,24.9,6.1,1.32,13.2,494.0,0
22.2,64.6,1.5,14.2,26.6,5.7,0.96,10.2,494.0,0
33.3,64.6,55.1,72.7,26.6,30.7,2.12,5.1,612.0,1
37.5,64.6,3.1,2.2,39.5,29.2,0.98,5.1,898.0,1
28.9,64.6,1.5,67.1,26.6,5.7,1.75,5.1,494.0,3
39.3,78.9,68.9,85.2,43.7,13.0,1.7,8.5,570.0,3
28.9,64.6,17.3,37.0,27.2,5.7,1.48,5.5,494.0,3
