Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,target
0.3693693693693695,0.26167209554831705,0.017627118644067796,0.06845124282982791,0.31130434782608696,0.3013698630136986,0.10749185667752442,0.16309012875536477,0.17035110533159947,2
0.2995495495495496,0.26167209554831705,0.007796610169491525,0.046653919694072656,0.40695652173913044,0.31115459882583163,0.10749185667752442,0.1502145922746781,0.5500650195058518,2
0.2995495495495496,0.42019543973941376,0.003728813559322034,0.12925430210325045,0.29565217391304344,0.23679060665362034,0.10749185667752442,0.11587982832618027,0.5604681404421326,2
0.3085585585585586,0.03365906623235615,0.020677966101694912,0.024091778202676863,0.1060869565217391,0.22504892367906065,0.1628664495114006,0.3690987124463519,0.34590377113133935,0
0.2995495495495496,0.37676438653637356,0.023389830508474575,0.06118546845124283,0.31130434782608696,0.23679060665362034,0.11726384364820847,0.43776824034334766,0.14954486345903772,0
0.5855855855855856,0.6579804560260586,0.04949152542372881,0.03097514340344168,0.31130434782608696,0.471624266144814,0.38110749185667747,0.025751072961373384,0.6319895968790636,1
0.2995495495495496,0.504885993485342,0.005762711864406779,0.03097514340344168,0.4121739130434783,0.36986301369863006,0.37459283387622144,0.09012875536480686,0.7113133940182055,3
0.39639639639639646,0.256243213897937,0.01694915254237288,0.06424474187380497,0.31130434782608696,0.38747553816046965,0.2377850162866449,0.16309012875536477,0.33159947984395316,2
0.36036036036036034,0.6275787187839305,0.03491525423728814,0.08680688336520076,0.6556521739130434,0.3522504892367906,0.44951140065146566,0.111587982832618,0.34590377113133935,3
0.44594594594594605,0.4831704668838219,0.03762711864406779,0.03097514340344168,0.4278260869565217,0.4207436399217221,0.3387622149837133,0.10300429184549356,0.4512353706111834,3
0.29054054054054057,0.3224755700325733,0.004406779661016949,0.03097514340344168,0.1895652173913043,0.23679060665362034,0.06514657980456023,0.4506437768240343,0.44343302990897265,0
0.4301801801801802,0.26167209554831705,0.005423728813559322,0.03097514340344168,0.24695652173913044,0.49902152641878667,0.28664495114006516,0.111587982832618,0.43042912873862155,2
0.2995495495495496,0.18783930510314872,0.012542372881355932,0.03097514340344168,0.31130434782608696,0.25048923679060664,0.14332247557003258,0.111587982832618,0.34590377113133935,0
0.3423423423423424,0.26167209554831705,0.09796610169491525,0.03097514340344168,0.2747826086956521,0.20939334637964774,0.12052117263843648,0.3648068669527897,0.41612483745123535,0
0.2004504504504505,0.4831704668838219,0.015254237288135592,0.04588910133843212,0.17043478260869563,0.23679060665362034,0.17263843648208466,0.111587982832618,0.057217165149544835,0
0.2995495495495496,0.46579804560260596,0.0759322033898305,0.11434034416826003,0.3495652173913043,0.3522504892367906,0.27035830618892503,0.111587982832618,0.34590377113133935,2
0.213963963963964,0.4277958740499458,0.015254237288135592,0.03977055449330784,0.31130434782608696,0.19373776908023482,0.1009771986970684,0.5107296137339057,0.2223667100130039,0
0.5450450450450451,0.49077090119435407,0.09525423728813559,0.03097514340344168,0.6834782608695652,0.38943248532289626,0.3908794788273615,0.06866952789699568,0.34590377113133935,3
0.4797297297297298,0.252985884907709,0.030508474576271184,0.060038240917782024,0.3669565217391304,0.2602739726027397,0.28338762214983715,0.1545064377682403,0.3237971391417425,2
0.5495495495495496,0.6644951140065148,0.002033898305084746,0.09407265774378586,0.31130434782608696,0.3502935420743639,0.15635179153094458,0.22317596566523606,0.7997399219765928,3
0.3198198198198199,0.08794788273615639,0.011864406779661017,0.05506692160611855,0.40521739130434775,0.30528375733855184,0.10423452768729641,0.23605150214592274,0.1950585175552666,2
0.3198198198198199,0.26167209554831705,0.01288135593220339,0.04168260038240918,0.029565217391304327,0.15459882583170254,0.1270358306188925,0.111587982832618,0.43172951885565675,0
0.27477477477477485,0.24212812160694897,0.0013559322033898306,0.03097514340344168,0.31130434782608696,0.23679060665362034,0.10749185667752442,0.3218884120171674,0.4525357607282185,0
0.25225225225225234,0.1346362649294245,0.028135593220338984,0.05889101338432122,0.27652173913043476,0.21135029354207435,0.1237785016286645,0.111587982832618,0.3550065019505852,0
0.28828828828828834,0.15092290988056456,0.001694915254237288,0.0076481835564053535,0.26956521739130423,0.16634050880626222,0.09446254071661236,0.6609442060085837,0.5110533159947985,0
0.2995495495495496,0.28338762214983715,0.05559322033898304,0.08145315487571701,0.1773913043478261,0.23679060665362034,0.09120521172638435,0.38626609442060084,0.17685305591677503,0
0.2995495495495496,0.3604777415852335,0.006779661016949152,0.01491395793499044,0.31130434782608696,0.22309197651663404,0.14332247557003258,0.3261802575107296,0.14174252275682703,0
0.2995495495495496,0.39305103148751364,0.034237288135593215,0.06347992351816444,0.31130434782608696,0.2446183953033268,0.3908794788273615,0.042918454935622324,0.5838751625487646,3
0.3648648648648649,0.3213897937024972,0.011525423728813558,0.03097514340344168,0.31130434782608696,0.1780821917808219,0.1237785016286645,0.111587982832618,0.3433029908972692,0
0.8806306306306306,0.26167209554831705,0.2288135593220339,0.34875717017208413,0.4208695652173913,0.7984344422700587,0.10749185667752442,0.017167381974248913,0.776332899869961,1
0.2995495495495496,0.6720955483170469,0.003728813559322034,0.03097514340344168,0.36,0.5636007827788649,0.10749185667752442,0.042918454935622324,0.48634590377113135,1
0.22297297297297303,0.09989142236699244,0.08135593220338982,0.11089866156787763,0.3339130434782608,0.22504892367906065,0.1009771986970684,0.3605150214592275,0.5032509752925878,0
0.49549549549549554,0.697068403908795,0.06949152542372881,0.12695984703632887,0.4695652173913043,0.3502935420743639,0.3908794788273615,0.111587982832618,0.3276983094928479,3
0.2995495495495496,0.5407166123778502,0.2861016949152542,0.3609942638623327,0.33565217391304336,0.5088062622309197,0.2931596091205212,0.3218884120171674,0.7230169050715214,3
0.18918918918918926,0.4733984799131379,0.003728813559322034,0.06424474187380497,0.31130434782608696,0.23874755381604695,0.08469055374592832,0.3562231759656653,0.34720416124837455,0
0.3220720720720721,0.5439739413680782,0.2823728813559322,0.03097514340344168,0.31130434782608696,0.25440313111545987,0.3452768729641693,0.2103004291845494,0.5279583875162548,2
0.31756756756756765,0.46579804560260596,0.1023728813559322,0.03097514340344168,0.13739130434782607,0.18003913894324852,0.10749185667752442,0.3690987124463519,0.3693107932379714,0
